rank,ticker,name,industry,mcap_M,price,rev_yoy_%,rev_qoq_%,rev_yoy_q_%,cagr3_%,op_margin_%,net_margin_%,ocf_M,pe,pb,score,latest_q
1,5314,世紀*,Semiconductors,21394,72.6,373.3,44.8,144.1,490.2,35.8,54.7,1009,13.3,11.72,95.0,2025-12-31
2,5269,祥碩,Semiconductors,102707,1410.0,66.0,-11.8,40.3,44.8,29.5,40.5,4070,19.4,2.92,88.0,2025-12-31
3,5439,高技,Electronic Components,35610,391.0,130.8,-12.3,94.5,48.9,16.8,13.2,515,28.2,9.14,78.0,2025-12-31
4,2408,南亞科,Semiconductors,932687,274.0,95.1,185.9,357.7,49.2,7.9,9.9,18568,24.5,4.40,77.9,2025-12-31
5,3515,華擎,Computer Hardware,28168,245.5,86.5,14.1,48.9,58.7,5.7,4.0,1273,15.5,2.69,74.4,2025-12-31
6,8499,鼎炫-KY,Electronic Components,11753,282.0,42.9,51.7,118.7,25.5,23.1,14.3,488,27.8,1.42,73.1,2025-12-31
7,7547,碩網,Software - Infrastructure,2377,71.2,5.7,-0.3,68.2,32.0,28.7,23.2,37,27.5,2.50,72.3,2025-12-31
8,3260,威剛,Semiconductors,146589,457.0,32.1,9.2,59.9,25.5,17.2,13.7,2130,19.4,6.15,69.7,2025-12-31
9,3030,德律,Scientific & Technical Instruments,93069,389.5,33.2,-12.5,39.5,38.2,35.4,29.3,1727,33.7,8.79,69.5,2025-12-31
10,3257,虹冠電,Semiconductors,4376,54.9,29.3,-23.8,59.6,-0.9,27.3,25.8,24,16.1,2.48,69.4,2025-12-31
11,2374,佳能,Electronic Components,27061,78.5,60.3,21.7,123.7,41.7,8.9,8.0,13,28.2,2.96,68.5,2025-12-31
12,3526,凡甲,Electronic Components,25560,388.0,22.3,20.1,17.3,28.1,33.4,28.1,1035,22.6,7.25,67.8,2025-12-31
13,3706,神達,Computer Hardware,114273,86.2,72.1,23.3,29.0,72.4,5.1,6.5,419,16.7,1.67,67.4,2025-12-31
14,5284,jpp-KY,Electronic Components,19068,360.0,56.2,19.0,40.3,28.8,20.8,16.6,255,30.8,5.15,67.4,2025-12-31
15,2330,台積電,Semiconductors,58476659,2290.0,31.6,5.7,24.6,32.7,50.8,44.6,2274976,34.6,10.96,65.5,2025-12-31
16,5212,凌網,Software - Infrastructure,1616,48.0,15.9,27.1,103.7,14.6,15.6,12.5,160,9.8,2.56,64.5,2025-12-31
17,8299,群聯,Semiconductors,581956,2670.0,23.3,25.7,64.7,22.8,11.5,12.0,1598,23.2,7.25,62.8,2025-12-31
18,2449,京元電子,Semiconductors,366212,311.0,30.1,7.3,36.2,20.7,25.8,31.5,13152,34.5,7.54,61.3,2025-12-31
19,5469,瀚宇博,Electronic Components,41548,81.8,37.5,-1.2,51.1,15.4,10.6,5.1,7465,13.6,1.10,60.8,2025-12-31
20,3217,優群,Electronic Components,15318,178.0,19.4,-8.0,12.6,17.5,31.4,27.6,1261,14.0,3.05,60.8,2025-12-31
21,8069,元太,Electronic Components,205122,178.0,12.3,-32.6,-12.9,15.4,29.6,29.1,9600,17.7,2.72,59.9,2025-12-31
22,3310,佳穎,Electronic Components,4384,69.0,84.9,12.4,-67.2,13.5,11.8,9.1,721,20.3,2.67,59.2,2025-12-31
23,3413,京鼎,Semiconductor Equipment,34099,315.5,26.7,-5.7,7.4,26.4,14.9,11.2,2250,14.8,2.10,58.4,2025-12-31
24,3357,臺慶科,Electronic Components,19132,186.5,20.3,9.6,15.8,22.3,12.0,15.9,774,19.3,2.17,58.1,2025-12-31
25,3227,原相,Semiconductors,34616,231.5,9.1,3.4,-2.6,25.0,20.7,19.9,2842,18.3,2.73,57.8,2025-12-31
26,3290,東浦,Electronic Components,4321,48.6,18.2,9.7,40.2,11.8,14.7,9.5,108,23.1,1.90,56.7,2025-12-31
27,3219,倚強科,Specialty Industrial Machinery,5419,75.5,49.7,-30.4,78.9,21.3,9.7,6.4,111,33.8,3.40,56.6,2025-12-31
28,2421,建準,Specialty Industrial Machinery,42906,149.0,27.7,5.5,27.5,20.3,15.1,11.6,3293,18.2,3.76,55.9,2025-12-31
29,6719,力智,Semiconductors,20042,187.0,23.9,-3.1,27.2,22.8,14.6,15.1,972,26.0,1.38,55.8,2025-12-31
30,3416,融程電,Industrial Computing,13834,175.5,19.1,21.7,20.7,18.4,19.0,16.2,497,24.0,4.35,55.8,2025-12-31
31,2357,華碩,Computer Hardware,507305,650.0,25.9,1.3,37.4,23.8,4.8,6.0,30330,10.8,1.80,54.4,2025-12-31
32,3406,玉晶光,Optical Components,57048,506.0,7.8,-7.6,34.4,7.4,19.1,14.8,7312,15.4,2.15,54.2,2025-12-31
33,3019,亞光,Electronic Components,40770,144.0,14.7,-2.5,29.0,21.8,8.6,7.0,2104,21.0,2.82,53.9,2025-12-31
34,2376,技嘉,Computer Hardware,214364,317.0,27.1,12.3,35.9,57.0,5.0,3.6,5089,17.4,3.59,53.7,2025-12-31
35,8383,千附,Specialty Industrial Machinery,6238,56.0,13.2,17.0,19.4,13.0,16.3,11.4,621,17.6,1.79,52.9,2025-12-31
36,8109,博大,Electrical Equipment & Parts,9777,118.0,15.0,4.2,18.9,-4.9,34.7,29.1,601,19.3,3.15,52.7,2025-12-31
37,2432,倚天酷��-創,Computer Hardware,1726,27.6,25.6,33.3,31.4,25.3,3.9,3.6,121,14.4,1.55,52.4,2025-12-31
38,3622,洋華,Electronic Components,8611,56.4,9.4,-11.0,15.3,2.6,26.8,53.4,313,9.3,1.09,52.2,2025-12-31
39,2317,鴻海,Electronic Components,3518610,250.0,18.1,26.6,58.5,14.7,3.2,2.3,226852,18.4,1.97,51.8,2025-12-31
40,5236,凌陽創新,Semiconductors,10051,168.0,10.0,-4.5,-6.6,10.1,28.1,25.8,545,19.6,3.80,51.1,2025-12-31
41,1529,樂事綠能,Electrical Equipment & Parts,3521,22.9,32.9,19.4,-8.1,10.9,10.8,17.0,289,22.7,1.96,50.9,2025-12-31
42,3090,日電貿,Electronic Components,33645,113.5,29.5,-5.8,0.5,21.5,10.2,8.0,89,23.6,1.85,50.7,2025-12-31
43,2441,超豐,Semiconductor Equipment & Materials,52334,90.5,10.2,-0.6,10.5,11.1,16.2,14.6,4888,19.4,2.04,50.6,2025-12-31
44,2428,興勤,Electronic Components,24854,190.5,6.8,-2.5,-1.4,6.6,25.0,18.7,2033,17.3,2.08,50.2,2025-12-31
45,3684,榮昌,Electronic Components,1806,59.0,22.6,-16.1,0.9,19.3,10.8,9.1,169,16.5,2.38,49.1,2025-12-31
46,3013,晟銘電,Computer Hardware,22873,107.0,12.2,16.3,13.9,27.8,10.6,7.8,1021,23.5,3.99,49.0,2025-12-31
47,3611,鼎翰,Computer Hardware,9141,191.0,31.0,3.5,-0.4,17.5,10.0,8.1,1462,9.7,1.68,49.0,2025-12-31
48,3029,零壹,Computer Hardware,16529,98.3,34.7,-9.8,6.7,33.7,6.0,4.4,1841,14.5,3.23,48.8,2025-12-31
49,5493,三聯,Electronic Components,3779,86.6,21.0,3.6,13.7,21.3,6.6,3.4,395,20.4,1.84,48.3,2025-12-31
